1,1,"What fabric is the top made of?",2020-07-27T21:18:34.409Z,"yankeelover","first.last@gmail.com",false,1
2,1,"HEY THIS IS A WEIRD QUESTION!!!!?",2021-02-21T06:16:59.613Z,"jbilas","first.last@gmail.com",true,4
3,1,"Does this product run big or small?",2020-12-21T07:31:47.083Z,"jbilas","first.last@gmail.com",false,8
4,1,"How long does it last?",2020-07-10T00:35:17.010Z,"funnygirl","first.last@gmail.com",false,6
5,1,"Can I wash, it?",2020-12-25T00:14:44.662Z,"cleopatra","first.last@gmail.com",false,7
6,1,"Is it noise, cancelling?",2020-12-25T00:14:44.662Z,"coolkid","first.last@gmail.com",true,19
1,1,"What fabric is the top made of?",2020-07-27T21:18:34.409Z,"yankeelover","first.last@gmail.com",false,1
2,1,"HEY THIS IS A WEIRD QUESTION!!!!?",2021-02-21T06:16:59.613Z,"jbilas","first.last@gmail.com",true,4
3,1,"Does this product run big or small?",2020-12-21T07:31:47.083Z,"jbilas","first.last@gmail.com",false,8
4,1,"How long does it last?",2020-07-10T00:35:17.010Z,"funnygirl","first.last@gmail.com",false,6
5,1,"Can I wash, it?",2020-12-25T00:14:44.662Z,"cleopatra","first.last@gmail.com",false,7
6,1,"Is it noise, cancelling?",2020-12-25T00:14:44.662Z,"coolkid","first.last@gmail.com",true,19
